title,artist,lyrics,lyrics_len,title_clean,artist_clean
The Show Goes On,Lupe Fiasco,"101 ContributorsThe Show Goes On LyricsLupe fans, the moment you’ve been waiting for is here – Lupe’s first official single off of the long-delayed LASERS!
Lupe interpolates the popular Modest Mouse single “Float On” into the chorus, giving… Read More 
LA-SER
Yeah, yeah
Kane is in the building, nigga
Yeah

Alright, already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder, when they would see the sun up
Just remember when you come up, the show goes on
Alright, already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder, when they would see the sun up
Just remember when you come up, the show goes on

Have you ever had the feelin' that you was bein' had?
Don't that shit there make you mad? They treat you like a slave
Put chains all on your soul and put whips up on your back
They be lyin' through they teeth, hope you slip up off your path
I don't switch up, I just laugh (Ha ha) put my kicks up on they desk
Unaffected by they threats, then get busy on they ass
See that's how that Chi-Town made me
That's how my daddy raised me
That glitterin' may not be gold, don't let nobody play me
If you are my homeboy, you never have to pay me
Gon' and put your hands up, when times is hard, you stand up
L-U-P the man, 'cause the brand that the fans trust
So even if they ban us, they'll never slow my plans up

Alright, already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder, when they would see the sun up
Just remember when you come up, the show goes on
Alright, already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder, when they would see the sun up
Just remember when you come up, the show goes on

One in the air for the people ain't here
Two in the air for the father that's there
Three in the air for the kids in the ghetto
Four for the kids that don't wanna be there
None for the niggas tryna hold them back
Five in the air for the teachers not scared
To tell those kids that's livin' in the ghetto
That the niggas holdin' back that the world is theirs
Yeah, yeah, the world is yours, I was once that little boy
Terrified of the world, now I'm on a world tour
I would give up everything, even start a world war
For these ghetto girls and boys I'm rappin' round the world for
Africa to New York, Haiti then I detour
Oakland out to Auckland, Gaza Strip to Detroit
Say hip-hop only destroy, tell 'em look at me, boy
I hope your son don't have a gun and never be a d-boy

Alright, already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder, when they would see the sun up
Just remember when you come up, the show goes on
Alright, already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder, when they would see the sun up
Just remember when you come up, the show goes on

So no matter what you been through, no matter what you into
No matter what you see when you look outside your window
Brown grass or green grass, picket fence or barbed wire
Never ever put them down, you just lift your arms higher
Raise 'em 'til your arms tired, let 'em know you here
That you strugglin', survivin', that you gon' persevere
Yeah, ain't nobody leavin', nobody goin' home
Even if they turn the lights out, the show is goin' on, alright

Alright, already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder, when they would see the sun up
Just remember when you come up, the show goes on
Alright, already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder, when they would see the sun up
Just remember when you come up, the show goes on",3688.0,the show goes on,lupe fiasco
I Follow Rivers - The Magician Remix,Lykke Li,"22 ContributorsTranslationsDeutschI Follow Rivers (The Magician Remix) Lyrics
Oh, I beg you
Can I follow?
Oh, I ask you
Why not always?
Be the ocean
Where I unravel
Be my only
Be the water where I'm wading

You're my river running high
Run deep, run wild

I, I follow
I follow you, deep sea baby
I follow you
I, I follow
I follow you, dark doom honey
I follow you

He a message
I'm the runner
He the rebel
I'm the daughter waiting for you

You're my river running high
Run deep, run wild

I, I follow
I follow you, deep sea baby
I follow you
I, I follow
I follow you, dark doom honey
I follow you

You're my river running high
Run deep, run wild

I, I follow
I follow you, deep sea baby
I follow you
I, I follow
I follow you, dark doom honey
I follow you
I, I follow
I follow you, deep sea baby
I follow you
I, I follow
I follow you, dark doom honey
I follow you
I, I follow
I follow you, deep sea baby
I follow you
I, I follow
I follow you, dark doom honey
I follow you
I, I follow
I follow you, deep sea baby
I follow you
I, I follow
I follow you, dark doom honey
I follow you

I, I follow
I follow you, deep sea baby
I follow you
I, I follow
I follow you, dark doom honey
I follow you",1187.0,i follow rivers - the magician remix,lykke li
Midnight City,M83,"80 ContributorsTranslationsEspañolFrançaisРусский (Russian)עברית (Hebrew)Midnight City Lyrics“Midnight City” is off of M83’s sixth, and critically acclaimed album Hurry Up, We’re Dreaming (Naive, 2011). The song’s catchiness quickly made it one of the most popular songs of the year, appearing on the… Read More 

Waiting in the car
Waiting for a ride in the dark
At night the city grows
Look at the horizon glow


Waiting in the car
Waiting for a ride in the dark
Drinking in the lights
Following the neon signs
Waiting for a word (Word)
Looking at the milky skyline (Skyline)
The city is my church (The city is my church)
It wraps me in its blinding twilight (Twilight)


Waiting in the car
Waiting for the ride in the dark
Waiting in the car (Waiting in the car)
Waiting for the ride in the dark (Ride in the dark)
Waiting in the car (Car)
Waiting for the ride in the dark
Waiting in the car (Waiting in the car)
Waiting for the ride in the dark
Waiting in the car (Waiting in the car)
Waiting for the ride in the dark",1021.0,midnight city,m83
Donald Trump,Mac Miller,"105 ContributorsTranslationsFrançaisDonald Trump LyricsLong before he became president of the United States, Donald Trump was one of the most enduring symbols of success in hip-hop, going back at least to Raekwon’s 1995 single “Incarcerated Scarfaces”:
But yo… Read More 
Hey
Ayo, Sap, what's good, bruh?
This man's kinda high out here

Ayo, the flyest ma'fucker in the room, yeah, you know it's me
Bitches hatin' on him 'cause he started out here locally
Hopefully, I'll be at the top soon
For now, I'm at my house on the couch watchin' cartoons
You know how much you love it when you get it in abundance
Give a fuck about a budget when you always be the subject of discussion
But it's nothin' when you stop and just say, ""fuck it""
'Cause you walkin' out in public and you hear 'em talkin' rubbish
I just wanna ride, ride through the city in a Cutlass
Find a big butt bitch somewhere, get my nuts kissed
That's the way it goes when you party just like I do
Bitches on my dick that used to brush me off in high school

Take over the world when I'm on my Donald Trump shit
Look at all this money, ain't that some shit?
Take over the world when I'm on my Donald Trump shit
Look at all this money, ain't that some shit? (Hey)
We gon' take over the world while these haters gettin' mad
That's why all my bitches bad, they see this crazy life I have
And they in awe, we gon' win, you can take the lose or draw
What I'm in got these hoes who used to play me in they bras
We gon' take over the world while these haters gettin' mad
Take over the world, watch these haters get mad
That's why all my bitches bad, they see this crazy life I have
Hop into the car and then we take 'em to the pad, it's a wrap

Uh, uh, uh
And ma'fuckers think they know me, but they never met the kid
Style come with excellence and money make benevolence
Irrelevant for the fuckers who never been intelligent
I kill my Henny, break the bottle for the hell of it
Tell a bitch that she better bring her friends
And if she want an autograph she better bring a pen
Yeah, the party never end, this life is what I recommend
And if you got a ho picked for me, then she better be a 10
I ain't picky, but these girls be actin' tricky
When the situation's sticky and the liquor got 'em silly

But I take over the world when I'm on my Donald Trump shit
Look at all this money, ain't that some shit?
We gon' take over the world while these haters gettin' mad
That's why all my bitches bad, they see this crazy life I have
And they in awe, we gon' win, you can take the lose or draw
What I'm in got these hoes who used to play me in they bras
We gon' take over the world while these haters gettin' mad
Take over the world, watch these haters get mad
That's why all my bitches bad, they see this crazy life I have
Hop into the car and then we take 'em to the pad, it's a wrap",2831.0,donald trump,mac miller
Buzzin Remix,Mann,"36 ContributorsBuzzin’ (Remix) Lyrics
Mann, 50
J.R
B-Day Boy
Ha-ha
Yeah

Man, I feel like money (Man, I feel like money, yeah)
They're attracted to me (Oh, yeah)
They come around like honey (They come around like honey)
Cuz I'm fly like a bee (Oh, yeah, say what?)
Man, I got 'em all buzzin', buzzin', buzzin', buzzin' (Buzzin, buzzin, buzzin)
Like da-da-da-da-da-da-da
Man, I got the world buzzin', buzzin' (Say what?), buzzin', buzzin' (Buzzin', buzzin', buzzin')
Like da-da-da-da-da-da-da

Audi R8, laid back, Black on Black
Diamonds on my neck and my wrist matching that
Black mask, black mag, brown bag
Drop that off, nigga, shoot your black ass
I'm a magnet to money, the paper I'm where it's at
They attracted to me, they treat me like Pimp C
I'm a P-I-M-P, your chick just chose me
I got so much swag, is that why you mad?
Control your hatred, nothing good to say, don't say shit
Keep walkin', quit talkin', keep it movin'
We can keep the club jumpin' 'till daylight
From New York to LA through the Bay right

Uh, back up to back up in the mix like that
And I know ya like it when it's just like that
All the girlies just love my swag
From my kicks to the way I fix my hat
I'm back, fresh like some new J's
Brodie got next NBA 2K, I'm too paid
Shaded with some ladies
Reppin' my city, West LA baby !
West LA made me this way
Two rules - Stay fresh, homie and get paid (hey!)
Never broke and never bummy
I'm from where it's forever sunny

Man, I feel like money (Man, I feel like money)
They're attracted to me (Oh, yeah)
They come around like honey (They come around like honey)
Cuz I'm fly like a bee (Oh, yeah)
Man, I got 'em all buzzin', buzzin', buzzin', buzzin' (Buzzin, buzzin, buzzin)
Like da-da-da-da-da-da-da
Man, I got the world buzzin', buzzin', buzzin', buzzin' (Buzzin', buzzin', buzzin')
Like da-da-da-da-da-da-da

When I come around, 'round, 'round, they go
Yeah , yeah it's going down , down , down, they go

New cat with a old school feel
Only new artist with a old school deal
Taught the game by Steve Lobell
So we always win , don't receive no help
New girls act like they know me so well
But I shows no love and be like ""Oh well""
When my album drops , sure as hell goin' sell
Stack cash and laugh like L-O-L

Man, I feel like money (Man, I feel like money)
They're attracted to me (Oh, yeah)
They come around like honey (They come around like honey)
Cuz I'm fly like a bee (Oh, yeah)
Man, I got 'em all buzzin', buzzin', buzzin', buzzin' (Buzzin, buzzin, buzzin)
Like da-da-da-da-da-da-da
Man, I got the world buzzin', buzzin', buzzin', buzzin' (Buzzin', buzzin', buzzin')
Like da-da-da-da-da-da-da

When I come around , 'round , 'round
They go
Yeah , yeah it's going down , down , down
They go
When I come around , 'round , 'round
They go
Yeah , yeah it's going down , down , down
They go

Yee-uh Yee-uh
Shawty in my ear
Saying all the things that I wanna hear
Buzzin' !
And as the night ends
I'mma have her and get all her friends
Buzzin' !
Okay , hands in the air (Yee-uh)
From the back to the front
Everywhere
Buzzin' !
Throwin' out 20's
Throwin' out hundreds
Ladies gotta love it

Man, I feel like money (Man, I feel like money)
They're attracted to me (Oh, yeah)
They come around like honey (They come around like honey)
Cuz I'm fly like a bee (Oh, yeah)
Man, I got 'em all buzzin', buzzin', buzzin', buzzin' (Buzzin, buzzin, buzzin)
Like da-da-da-da-da-da-da
Man, I got the world buzzin', buzzin', buzzin', buzzin' (Buzzin', buzzin', buzzin')
Like da-da-da-da-da-da-da

When I come around , 'round , 'round
They go
Yeah , yeah it's going down , down , down
They go
When I come around , 'round , 'round
They go
Yeah , yeah it's going down , down , down
They go",3694.0,buzzin remix,mann
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,"96 ContributorsTranslationsDeutschفارسیPolskiEspañolMoves Like Jagger Lyrics“Moves Like Jagger” was first performed on an episode of The Voice, a singing competition which Adam Levine and Christina both judge. It peaked at number one on the Billboard Hot 100, becoming Adam Levine &… Read More 
Oh, na
Oh

Just shoot for the stars if it feels right
Then aim for my heart if you feel like it
Take me away, and make it okay
I swear I'll behave
You wanted control, so we waited
I put on a show, now we're naked
You say I'm a kid, my ego is big
I don't give a shit

And it goes like this (Uh)
Take me by the tongue and I'll know you (Uh)
Kiss me 'til you're drunk and I'll show you
All the moves like Jagger
I've got them moves like Jagger
I've got them moves like Jagger (Uh)
I don't need to try to control you (Uh)
Look into my eyes and I'll own you
With them moves like Jagger
I've got them moves like Jagger
I've got them moves like Jagger

Maybe it's hard when you feel like
You're broken and scarred, nothing feels right
But when you're with me, I'll make you believe
That I've got the key
Oh, so get in the car, we can ride it
Wherever you want, get inside it
And you wanna steer, but I'm shifting gears
I'll take it from here (Oh, yeah, yeah)
And it goes like this (Uh)
Take me by the tongue and I'll know you (Uh)
Kiss me 'til you're drunk and I'll show you
All the moves like Jagger
I've got them moves like Jagger
I've got them moves like Jagger (Woo, uh)
I don't need to try to control you (Oh yeah, uh)
Look into my eyes and I'll own you
With them moves like Jagger
I've got them moves like Jagger (Yeah, yeah, yeah)
I've got them moves like Jagger

Uh, you wanna know how to make me smile?
Take control, own me just for the night (Ah)
And if I share my secret, you're gonna have to keep it (Shh)
Nobody else can see this (Ah, uh)
So watch and learn, I won't show you twice
Head to toe, ooh, baby, rub me right, yeah
And if I share my secret, you're gonna have to keep it
Nobody else can see this, hey, hey, hey, yeah

And it goes like this (Uh)
Take me by the tongue and I'll know you (Take me by the tongue, uh)
Kiss me 'til you're drunk and I'll show you (Yeah, yeah)
All the moves like Jagger
I've got them moves like Jagger
I've got them moves like Jagger (Oh yeah; woo, uh)
I don't need to try to control you (Yeah, ooh; uh)
Look into my eyes and I'll own you (Oh-oh)
With them moves like Jagger
I've got them moves like Jagger
I've got them moves like Jagger",2474.0,"moves like jagger - studio recording from ""the voice"" performance",maroon 5
Sure Thing,Miguel,"87 ContributorsTranslationsTürkçeDeutschالعربيةSure Thing LyricsIn the first song from Miguel’s “All I Want Is You” debut album he is simply implying that the relationship/love that he has with this girl is undeniably real. No matter what they are a “Sure Thing.”
Love you like a brother
Treat you like a friend
Respect you like a lover

Oh-ooh-oh, oh-ooh-oh, oh-ooh-oh (You could bet that, never gotta sweat that)
Oh-ooh-oh, oh-ooh-oh, oh (You could bet that, never gotta sweat that)
Yeah, yeah, yeah (You could bet that, never gotta sweat that)
(You could bet that, never gotta sweat that) Yeah

If you be the cash, I'll be the rubber band
You be the match, I will be a fuse, boom!
Painter, baby, you could be the muse
I'm the reporter, baby, you could be the news
'Cause you're the cigarette and I'm the smoker
We raise a bet 'cause you're the joker
Checked off, you are the chalk
And I could be the blackboard, you can be the talk
And I can be the walk, yeah-eah

Even when the sky comes fallin'
Even when the sun don't shine
I got faith in you and I
So put your pretty little hand in mine
Even when we're down to the wire, babe
Even when it's do or die
We could do it, baby, simple and plain
'Cause this love is a sure thing, yeah

(You could bet that, never gotta sweat that) Oh yeah, yeah
(You could bet that, never gotta sweat that)
(You could bet that, never gotta sweat that)
(You could bet that, never gotta sweat that)

You could be the lover, I'd be the fighter, babe
If I'm the blunt (Uh), you could be the lighter, babe, fire it up!
Writer, baby, you could be the quote, yeah (Uh)
If I'm the lyric, baby, you could be the note (Uh), record that!
Saint, I'm a sinner, prize, I'm a winner
And it's you, what did I do to deserve that?
Paper, baby, I'll be the pen
Say that I'm the one 'cause you are a ten
Real and not pretend

Even when the sky comes fallin' (Yeah, yeah, yeah, yeah, yeah, yeah)
Even when the sun don't shine
I got faith in you and I
So put your pretty little hand in mine
(You could bet that, never gotta sweat that) Even when we're down to the wire, babe
(You could bet that, never gotta sweat that) Even when it's do or die
(You could bet that, never gotta sweat that) We could do it, baby, simple and plain
(You could bet that, never gotta sweat that) 'Cause this love is a sure thing, yeah

Uh, now rock with me, babe
And let me hold you in my arms, talk with me, babe, yeah-yeah
Uh, now rock with me, babe
And let me hold you in my arms, talk with me, babe, yeah-yeah
This love between you and I is simple as pie, baby
It's such a sure thing, it's such a sure thing
Oh, it's such a sure thing, yeah, yeah, yeah, yeah (It's such a sure thing)

(You could bet that, never gotta sweat that) Even when the sky comes fallin' (Yeah)
(You could bet that, never gotta sweat that) Even when the sun don't shine
(You could bet that, never gotta sweat that) I got faith in you and I
(You could bet that, never gotta sweat that) So put your pretty little hand in mine
(You could bet that, never gotta sweat that) Even when we're down to the wire, babe
(You could bet that, never gotta sweat that) Even when it's do or die
(You could bet that, never gotta sweat that) We could do it, baby, simple and plain
(You could bet that, never gotta sweat that) 'Cause this love is a sure thing

(You could bet that, never gotta sweat that) Love you like a brother
(You could bet that, never gotta sweat that) Treat you like a friend
(You could bet that, never gotta sweat that) Respect you like a lover
(You could bet that, never gotta sweat that) Oh-ooh-oh, oh-ooh-oh, oh-ooh-oh",3593.0,sure thing,miguel
When We Stand Together,Nickelback,"18 ContributorsWhen We Stand Together LyricsThis is the lead single from Nickelback’s seventh album Here and Now. The record was recorded in Mountain View Studios in Vancouver and saw the band themselves acting as producers (together with Joey Moi).… Read More 
One more depending on a prayer
And we all look away
People pretending everywhere
It's just another day
There's bullets flying through the air
And they still carry on
We watch it happen over there
And then just turn it off

(Hey, yeah, yeah, hey, yeah)
We must stand together
(Hey, yeah, yeah, hey, yeah)
There's no giving in
(Hey, yeah, yeah, hey, yeah)
Hand in hand forever
(Hey, yeah, yeah, hey, yeah)
That's when we all win
(Hey, yeah, yeah, hey, yeah)
That's, that's, that's when we all win
That's, that's, that's when we all win

They tell us everything's alright
And we just go along
How can we fall asleep at night
When something's clearly wrong?
When we could feed a starving world
With what we throw away
But all we serve are empty words
That always taste the same

(Hey, yeah, yeah, hey, yeah)
We must stand together
(Hey, yeah, yeah, hey, yeah)
There's no giving in
(Hey, yeah, yeah, hey, yeah)
Hand in hand forever
(Hey, yeah, yeah, hey, yeah)
That's when we all win
(Hey, yeah, yeah, hey, yeah)
That's, that's, that's when we all win
(Hey, yeah, yeah, hey, yeah)
That's, that's, that's when we all win

The right thing to guide us
Is right here inside us
No one can divide us
When the light is nearly gone
But just like a heartbeat
The drumbeat carries on
And the drumbeat carries on
(Just like a heartbeat)

(Hey, yeah, yeah, hey, yeah)
We must stand together
(Hey, yeah, yeah, hey, yeah)
There's no giving in
(Hey, yeah, yeah, hey, yeah)
Hand in hand forever
(Hey, yeah, yeah, hey, yeah)
That's when we all win
(Hey, yeah, yeah, hey, yeah)
That's, that's, that's when we all win
That's, that's, that's when we all win",1894.0,when we stand together,nickelback
Super Bass,Nicki Minaj,"179 ContributorsTranslationsPortuguêsSuper Bass LyricsOriginally released on April 5, 2011, as a Pink Friday deluxe edition cut, “Super Bass” quickly turned into a massive hit. On the song, Nicki raps about love and legitimate industry dudes.
Nicki described… Read More 
Yeah, yeah, yeah, hey

This one is for the boys with the boomin' system
Top down, AC with the cooler system
When he come up in the club, he be blazin' up
Got stacks on deck like he savin' up
And he ill, he real, he might gotta deal
He pop bottles and he got the right kind of build
He cold, he dope, he might sell coke
He always in the air, but he never fly coach
He a mothafuckin trip, trip, sailor of the ship, ship
When he make it drip, drip, kiss him on the lip, lip
That's the kinda dude I was lookin' for
And yes, you'll get slapped if you're lookin', ho

I said, excuse me, you're a hell of a guy
I mean, my, my, my, my, you're like pelican fly
I mean, you're so shy and I'm loving your tie
You're like slicker than the guy with the thing on his eye, oh
Yes, I did, yes, I did
Somebody please tell em who the F I is
I am Nicki Minaj, I mack them dudes up
Back coupes up and chuck the deuce up

Boy, you got my heartbeat runnin' away
Beatin' like a drum and it's comin' your way
Can't you hear that
Boom, badoom, boom, boom, badoom, boom, bass?
He got that super bass
Boom, badoom, boom, boom, badoom, boom, bass
Yeah, that's that super bass
Boom, boom, boom, badoom (Bass, bass)
Boom, boom, boom (Bass, yeah)
Boom, boom, boom, badoom (Bass, bass)
Boom, boom, boom (Bass)
Boom, badoom, boom, boom, badoom, boom, bass
He got that super bass
Boom, badoom, boom, boom, badoom, boom, bass
Yeah, that's that super bass (Yo, yo)

This one is for the boys in the polos
Entrepreneur niggas and the moguls
He could ball with the crew, he could solo
But I think I like him better when he dolo
And I think I like him better with the fitted cap on
He ain't even gotta try to put the mack on
He just gotta give me that look, when he give me that look
Then the panties comin' off, off, uh

Excuse me, you're a hell of a guy
You know, I really got a thing for American guys
I mean, sigh, sickenin' eyes
I can tell that you're in touch with your feminine side, uh
Yes, I did, yes, I did
Somebody please tell 'em who the F I is
I am Nicki Minaj, I mack them dudes up
Back coupes up and chuck the deuce up

Boy, you got my heartbeat runnin' away
Beatin' like a drum and it's comin' your way
Can't you hear that
Boom, badoom, boom, boom, badoom, boom, bass?
He got that super bass
Boom, badoom, boom, boom, badoom, boom, bass
Yeah, that's that super bass
Boom, boom, boom, badoom (Bass, bass)
Boom, boom, boom (Bass, yeah)
Boom, boom, boom, badoom (Bass, bass)
Boom, boom, boom (Bass)
Boom, badoom, boom, boom, badoom, boom, bass
He got that super bass
Boom, badoom, boom, boom, badoom, boom, bass
Yeah, that's that super bass (Yo, yo)

See, I need you in my life for me to stay
Know, know, know, know, know, I know you'll stay
No, no, no, no, no, don't go away, hey
Boy, you got my heartbeat runnin' away
Don't you hear that heartbeat comin' your way?
Oh, it be like
Boom, badoom, boom, boom, badoom, boom, bass
Can't you hear that
Boom, badoom, boom, boom, badoom, boom, bass?

Boy, you got my heartbeat runnin' away
Beatin' like a drum and it's comin' your way
Can't you hear that
Boom, badoom, boom, boom, badoom, boom, bass?
He got that super bass
Boom, badoom, boom, boom, badoom, boom, bass
Yeah, that's that super bass
Boom, boom, boom, badoom (Bass, bass)
Boom, boom, boom (Bass, yeah)
Boom, boom, boom, badoom (Bass, bass)
Boom, boom, boom (Bass)
Boom, badoom, boom, boom, badoom, boom, bass
He got that super bass
Boom, badoom, boom, boom, badoom, boom, bass
Yeah, that's that super bass (Yo, yo)",3765.0,super bass,nicki minaj
L.I.F.E.G.O.E.S.O.N.,Noah And The Whale,"21 ContributorsL.I.F.E.G.O.E.S.O.N. Lyrics
Lisa likes brandy and the way it hits her lips
She's a rock'n'roll survivor with pendulum hips
She's got deep brown eyes that've seen it all
Working at a nightclub that was called ""The Avenue""
The bar men used to call her ""Little Lisa, Looney Tunes""
She went down on almost anyone
And from the hard time living 'til the Chelsea days
From when her hair was sweet blonde 'til the day it turned gray
She said

L.I.F.E.G.O.E.S.O.N
You've got more than money and sense, my friend
You've got heart and you go in your own way
L.I.F.E.G.O.E.S.O.N
What you don't have now will come back again
You've got heart and you go in your own way

Some people wear their history like a map on their face
And Joey was an artist just living out of case
But his best work was his letters home
Extended works of fiction about imaginary success
When chorus girls in neon were his closest things to friends
But to a writer, the truth is no big deal
And from the hard time living to the sleepless nights
And the black and blue body from the weekend fights
He'd say

L.I.F.E.G.O.E.S.O.N
You've got more than money and sense, my friend
You've got heart and you go in your own way
L.I.F.E.G.O.E.S.O.N
What you don't have now will come back again
You've got heart and you go in your own way

On my last night on Earth, I won't look to the sky
Just breathe in the air and blink in the light
On my last night on Earth, I'll pay a high price
To have no regrets and be done with my life

L.I.F.E.G.O.E.S.O.N
You've got more than money and sense, my friend
You've got heart and you go in your own way
L.I.F.E.G.O.E.S.O.N
What you don't have now will come back again
You've got heart and you go in your own way",1717.0,l.i.f.e.g.o.e.s.o.n.,noah and the whale
Heart Skips a Beat (feat. Rizzle Kicks),Olly Murs,"26 ContributorsHeart Skips a Beat Lyrics
My heart skips-skips-skips-skips-skips-skips a beat
Olly Murs, true lad
Rizzle Kicks, yeah

I can see
You're not yourself
Even when you're here with me
I know that you're somewhere else

So put another record on, kiss and lead me on
Nothing really matters when we're dancing
Listen to the same sad song playing on repeat
'Cause every time we come this close, my heart skips, skips a beat

So come on, spin me around
Now I don't wanna go home
'Cause when you hold me like this
You know my heart skips, skips a beat
I know I should, but I can't leave it alone
And when you hold me like this
That's when my heart skips, skips a beat

Oh-oh, oh-oh, oh-oh, oh-oh, oh-oh

So hung up
We can't let go
If you really have to leave
One more time, just move me slow

So put another record on, play it on repeat
Nothing really matters when we're dancing
'Cause all you ever need to know is what you do to me
And every time you hold me close, my heart skips, skips a beat

So come on, spin me around
Now I don't wanna go home
'Cause when you hold me like this
You know my heart skips, skips a beat
I know I should, but I can't leave it alone
And when you hold me like this
That's when my heart skips, skips a beat

Oh-oh, oh-oh, oh-oh, oh-oh, oh-oh

Rizzle Kicks, yeah
At the start of the night I was like, what? Let's have a team talk
Playing with this lady isn't something I'd agree for
Vibes keep going up and down like a see-saw
Should have just taken her to the cinema to see Saw
Ooh, she let me sleep with her, I figured her figure's a sure, sure winner
Plus I got a lead from the back, I'm a skipper
You make my heart skip, skip, skip, skip, skip, skip a beat (Skip a beat)

So come on, spin me around
Now I don't wanna go home
'Cause when you hold me like this
You know my heart skips, skips a beat
I know I should, but I can't leave it alone
And when you hold me like this
That's when my heart skips, skips a beat

Oh-oh, oh-oh, oh-oh, oh-oh, oh-oh
Yeah, yeah
Heart skips, skips a beat
My heart skips a beat
Oh-oh, oh-oh, oh-oh, oh-oh, oh-oh
My heart skips, skips a beat",2106.0,heart skips a beat (feat. rizzle kicks),olly murs
Good Life,OneRepublic,"44 ContributorsGood Life Lyrics“Good Life” was released as the fourth single from OneRepublic’s sophomore album, Waking Up. This uplifting track focuses on themes of optimism and contentment, which is reflective of their previous work and… Read More 
Woke up in London yesterday
Found myself in the city near Piccadilly
Don't really know how I got here
I got some pictures on my phone
New names and numbers that I don't know
Address to places like Abbey Road
Day turns to night, night turns to whatever we want
We're young enough to say

Oh, this has gotta be the good life
This has gotta be the good life
This could really be a good life, good life
I say oh, got this feeling that you can't fight
Like this city is on fire tonight
This could really be a good life
A good, good life

To my friends in New York, I say hello
My friends in L.A., they don't know
Where I've been for the past few years or so
Paris to China to Colorado
Sometimes there's airplanes I can't jump out
Sometimes there's bullshit that don't work now
We all got our stories, but please tell me
What there's to complain about

When you're happy like a fool
Let it take you over
When everything is out
You gotta take it in

Oh, this has gotta be the good life
This has gotta be the good life
This could really be a good life, good life
I say oh, got this feeling that you can't fight
Like this city is on fire tonight
This could really be a good life
A good, good life

Oh, a good, good life
Yeah
Oh, oh

Hopelessly, I feel like there might be something that I'll miss
Hopelessly, I feel like the window closes, oh, so quick
Hopelessly, I'm taking a mental picture of you now
'Cause hopelessly, the hope is we have
So much to feel good about

Oh, this has gotta be the good life
This has gotta be the good life
This could really be a good life, good life
I say oh, got this feeling that you can't fight
Like this city is on fire tonight
This could really be a good life
A good, good life

Oh, yeah
Good, good life
Good life
Ooh, ooh
Oh

Listen, to my friends in New York, I say hello
My friends in L.A., they don't know
Where I've been for the past few years or so
Paris to China to Colorado
Sometimes there's airplanes I can't jump out
Sometimes there's bullshit that don't work now
We all got our stories, but please tell me
What there's to complain about",2327.0,good life,onerepublic
Raise Your Glass,P!nk,"46 ContributorsRaise Your Glass LyricsIs a song by American singer Pink, released as the lead single of her first compilation album, Greatest Hits… So Far!!! The song celebrates the first decade since Pink’s debut in 2000 and is dedicated to her… Read More 
Right, right, turn off the lights
We gonna lose our minds tonight
What's the dealio?
I love when it's all too much
5 AM, turn the radio up
Where's the rock 'n roll?

Party crasher, panty snatcher
Call me up if you a gangsta (Uh)
Don't be fancy, just get dancy
Why so serious?

So raise your glass if you are wrong
In all the right ways, all my underdogs
We will never be, never be anything but loud
And nitty-gritty, dirty, little freaks
Won't you come on and, come on and raise your glass?
Just come on and, come on and raise your glass

Slam, slam, oh, hot damn
What part of party don't you understand?
Wish you'd just freak out (Freak out already)
Can't stop, coming in hot
I should be locked up right on the spot
It's so on right now (It's so fuckin' on right now)

Party crasher, panty snatcher
Call me up if you a gangsta
Don't be fancy, just get dancy
Why so serious?

So raise your glass if you are wrong
In all the right ways, all my underdogs
We will never be, never be anything but loud
And nitty-gritty, dirty, little freaks
Won't you come on and, come on and raise your glass?
Just come on and, come on and raise your glass
Won't you come on and, come on and raise your glass?
Just come on and, come on and raise your glass

Oh shit! My glass is empty
That sucks!
So if you're too school for cool (I mean)
And you're treated like a fool (Treated like a fool)
You can choose to let it go
We can always, we can always party on our own
So raise your (Ah, fuck)

So raise your glass if you are wrong
In all the right ways, all my underdogs
We will never be, never be anything but loud
And nitty-gritty, dirty, little freaks (So raise your glass)
So raise your glass if you are wrong
In all the right ways, all my underdogs
We will never be, never be anything but loud
And nitty-gritty, dirty, little freaks
Won't you come on and, come on and raise your glass?
Just come on and, come on and raise your glass
Won't you come on and, come on and raise your glass? (For me)
Just come on and, come on and raise your glass
For me",2289.0,raise your glass,p!nk
